date,site,s2_secchi,s2_rrs,s2_kdmin,types2,l8_secchi,l8_rrs,l8_kdmin
8/10/21,86,1.471602826,0.011741334,0.625167391,S2A,1.281369093,0.014385556,0.70975142
8/10/21,87,3.853361107,0.012193112,0.237745868,S2A,2.440892817,0.014120668,0.372307961
8/10/21,88,2.591897802,0.01212489,0.353784547,S2A,2.206739262,0.013458251,0.413015962
8/10/21,89,5.513597722,0.011754445,0.168860221,S2A,3.983743999,0.012008001,0.230187774
8/10/21,90,2.323530851,0.012807556,0.393623888,S2A,1.923058302,0.014546668,0.472039417
8/10/21,91,4.687122616,0.01013289,0.218782068,S2A,4.616395502,0.010278001,0.206053948
8/10/21,92,NaN,0.005568668,NaN,S2A,1.489191858,0.011460223,0.617043788
8/10/21,93,NaN,0.010652001,NaN,S2A,1.512140185,0.01215289,0.605345135
8/10/21,94,NaN,0.011737556,NaN,S2A,1.399119055,0.013905112,0.650183473
8/10/21,95,NaN,0.012393112,NaN,S2A,1.254849791,0.01518689,0.721188724
8/10/21,96,1.638431016,0.012474445,0.557698591,S2A,1.334378259,0.014816001,0.679162483
8/10/21,97,1.744600184,0.012451556,0.525429552,S2A,1.543778453,0.015261334,0.58705184
8/10/21,98,2.285127264,0.011744223,0.402625378,S2A,1.957647842,0.013835334,0.464582105
8/10/21,99,2.353429294,0.013074668,0.387965174,S2A,1.593600337,0.01549489,0.567169821
8/10/21,100,1.977674076,0.013059112,0.461926731,S2A,1.554697763,0.015317112,0.581711598
8/10/21,101,3.237720346,0.012027779,0.28668827,S2A,2.207588765,0.013825779,0.412001915
8/10/21,102,3.901317531,0.011705779,0.235344481,S2A,2.4393339,0.013130001,0.376178012
8/10/21,103,5.464836233,0.011629112,0.168838131,S2A,4.123587492,0.011759556,0.225278513
8/10/21,104,5.288992565,0.010827112,0.186720785,S2A,5.58945777,0.010596668,0.167071724
8/10/21,105,4.509432244,0.009825779,0.22458296,S2A,6.148688947,0.009849112,0.1547283
8/10/21,106,4.155763035,0.008449779,0.223076975,S2A,4.508623366,0.00846489,0.205382126
8/10/21,107,NaN,0.012340223,NaN,S2A,1.250076651,0.015006001,0.729137672
8/10/21,108,1.819394984,0.011385334,0.504893363,S2A,1.431295516,0.013682001,0.63576441
8/10/21,109,2.366993398,0.011279334,0.38735057,S2A,1.766672435,0.013416001,0.516066401
8/10/21,110,1.821345905,0.011789556,0.503796498,S2A,1.517106441,0.014138668,0.599049095
8/10/21,111,2.009383225,0.012646445,0.454870446,S2A,1.667574018,0.014040445,0.544858633
8/10/21,112,2.39835603,0.012195556,0.381662821,S2A,1.95949358,0.013996001,0.463950104
8/10/21,113,2.351789306,0.01295889,0.390122723,S2A,1.895946084,0.01418089,0.479976392
8/10/21,114,3.033588932,0.01242689,0.302242507,S2A,2.401933086,0.013782668,0.379126931
8/10/21,115,2.847594711,0.013447112,0.323053777,S2A,2.068416715,0.014574668,0.439809233
8/10/21,116,2.196961581,0.013889334,0.414868735,S2A,1.869618808,0.01600289,0.483080055
8/10/21,117,1.54874798,0.014088668,0.589788942,S2A,1.235385372,0.016634001,0.729203516
8/10/21,118,6.124809927,0.010961779,0.164282424,S2A,5.675418794,0.011086223,0.163796911
