decimaldate,date,yearday,site,satsecchi
2016.922656,12/2/16,337,2,1.816109095
2016.922656,12/2/16,337,5,1.863596846
2016.922656,12/2/16,337,6,1.932630486
2016.922656,12/2/16,337,12,1.965024293
2016.922656,12/2/16,337,13,1.892120599
2016.922656,12/2/16,337,16,1.810495343
2016.922656,12/2/16,337,17,2.301611076
2017.097878,2/4/17,35,2,1.143701571
2017.097878,2/4/17,35,5,1.110239937
2017.097878,2/4/17,35,6,1.109270854
2017.097878,2/4/17,35,12,1.353934974
2017.097878,2/4/17,35,13,1.03278234
2017.097878,2/4/17,35,16,0.922383658
2017.097878,2/4/17,35,17,1.048865917
2017.141684,2/20/17,51,2,1.712100704
2017.141684,2/20/17,51,5,2.637784477
2017.141684,2/20/17,51,6,2.711937821
2017.141684,2/20/17,51,12,3.601259375
2017.141684,2/20/17,51,13,2.030509899
2017.141684,2/20/17,51,16,1.971979715
2017.141684,2/20/17,51,17,2.467547516
2017.273101,4/9/17,99,2,1.463966932
2017.273101,4/9/17,99,5,1.80805416
2017.273101,4/9/17,99,6,1.128164455
2017.273101,4/9/17,99,12,1.384421763
2017.273101,4/9/17,99,13,0.635109354
2017.273101,4/9/17,99,16,1.483915922
2017.273101,4/9/17,99,17,2.098674792
2017.404517,5/27/17,147,2,1.129271142
2017.404517,5/27/17,147,5,NaN
2017.404517,5/27/17,147,6,NaN
2017.404517,5/27/17,147,12,NaN
2017.404517,5/27/17,147,13,1.405110796
2017.404517,5/27/17,147,16,1.297968779
2017.404517,5/27/17,147,17,NaN
2017.448323,6/12/17,163,1,NaN
2017.448323,6/12/17,163,2,1.326425392
2017.448323,6/12/17,163,3,NaN
2017.448323,6/12/17,163,4,NaN
2017.448323,6/12/17,163,5,2.188244434
2017.448323,6/12/17,163,6,NaN
2017.448323,6/12/17,163,7,NaN
2017.448323,6/12/17,163,8,NaN
2017.448323,6/12/17,163,9,NaN
2017.448323,6/12/17,163,10,NaN
2017.448323,6/12/17,163,11,NaN
2017.448323,6/12/17,163,12,1.867424087
2017.448323,6/12/17,163,13,1.82474414
2017.448323,6/12/17,163,14,NaN
2017.448323,6/12/17,163,15,NaN
2017.448323,6/12/17,163,16,1.4296993
2017.448323,6/12/17,163,17,NaN
2017.492129,6/28/17,179,2,1.192792053
2017.492129,6/28/17,179,5,NaN
2017.492129,6/28/17,179,6,NaN
2017.492129,6/28/17,179,12,NaN
2017.492129,6/28/17,179,13,NaN
2017.492129,6/28/17,179,16,NaN
2017.492129,6/28/17,179,17,NaN
2017.535934,7/14/17,195,2,1.10834897
2017.535934,7/14/17,195,5,NaN
2017.535934,7/14/17,195,6,NaN
2017.535934,7/14/17,195,12,NaN
2017.535934,7/14/17,195,13,NaN
2017.535934,7/14/17,195,16,NaN
2017.535934,7/14/17,195,17,NaN
2017.57974,7/30/17,211,1,NaN
2017.57974,7/30/17,211,2,1.136096259
2017.57974,7/30/17,211,3,NaN
2017.57974,7/30/17,211,4,NaN
2017.57974,7/30/17,211,5,0.859242396
2017.57974,7/30/17,211,6,NaN
2017.57974,7/30/17,211,7,NaN
2017.57974,7/30/17,211,8,NaN
2017.57974,7/30/17,211,9,NaN
